SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539448,INDIGO      ,A ,Q,1248.00,1253.50,1230.00,1247.30,1244.95,1259.05,1183,16640,20633609.00,
539450,SHK         ,B ,Q,251.10,258.90,245.15,250.55,250.55,250.90,378,12131,3003949.00,
539455,DASL        ,XT,Q,24.50,25.50,24.25,25.50,25.50,25.25,24,12436,313697.00,
539470,SHREEGANES  ,X ,Q,399.00,400.00,399.00,399.50,400.00,404.00,2,300,119850.00,
539480,LICNETFN50  ,B ,Q,102.40,102.40,102.40,102.40,102.40,102.43,1,1,102.00,
539487,LICNETFSEN  ,B ,Q,340.00,340.00,324.25,324.25,324.25,347.23,3,143,48604.00,
539516,HDFCNIFETF  ,B ,Q,1030.00,1030.00,1016.00,1016.00,1016.00,1046.30,5,5,5112.00,
539517,SXETF       ,B ,Q,3400.00,3400.00,3367.00,3367.00,3367.00,3430.00,82,6002,20226909.00,
539518,UDAYJEW     ,X ,Q,46.30,46.30,44.15,44.25,44.90,46.45,139,81548,3607324.00,
539520,SHAILJA     ,XT,Q,12.05,12.10,12.05,12.05,12.05,12.20,119,21740,262418.00,
539523,ALKEM       ,A ,Q,2099.70,2107.90,2072.00,2081.70,2088.00,2114.85,518,50248,104524544.00,
539524,LALPATHLAB  ,A ,Q,870.55,870.55,821.55,847.80,850.00,870.55,445,12826,10884943.00,
539528,AAYUSH      ,X ,Q,51.30,54.95,51.30,54.80,52.00,53.45,25,2983,159231.00,
539542,LUXIND      ,B ,Q,1659.90,1695.00,1645.00,1654.20,1646.05,1693.80,193,1578,2645495.00,
539544,ABHIINFRA   ,XT,Q,2.50,2.70,2.50,2.70,2.70,2.58,6,3207,8180.00,
539551,NH          ,B ,Q,292.50,293.90,286.00,287.00,287.00,292.50,82,9623,2790373.00,
539595,NATECO      ,X ,Q,89.85,89.85,89.30,89.50,89.50,89.80,305,100089,8955180.00,
539597,JSLHISAR    ,B ,Q,162.00,164.65,153.05,155.25,155.25,165.70,2055,236773,37608794.00,
539598,ORACLECR    ,XT,Q,11.00,11.00,11.00,11.00,11.00,11.50,6,4000,44000.00,
539599,KEL         ,X ,Q,16.00,17.55,16.00,17.15,17.10,17.00,229,272250,4550337.00,
539620,AINFRA      ,XT,Q,112.30,112.30,107.05,110.30,110.30,112.30,15,483,53976.00,
539621,BCLENTERPR  ,X ,Q,5.65,7.95,5.65,7.94,7.95,7.00,4,2483,17471.00,
539636,PRECAM      ,B ,Q,96.00,101.90,95.80,100.00,100.00,97.55,191,28737,2788464.00,
539658,TEAMLEASE   ,B ,Q,2001.00,2225.00,2001.00,2120.65,2148.70,2090.85,192,3081,6345476.00,
